D1, TICKS, ALPHA, EGS, ACCURACY, PROBLEM, CHOICE
0.1, 10.0, 0.2, 0.2, 0.0, 11.914999, 1.1350021
0.1, 10.0, 0.2, 0.2, 1.0, 16.665, 1.1349983
0.1, 10.0, 0.2, 0.3, 1.0, 7.2650013, 1.1350002
0.1, 10.0, 0.2, 0.3, 1.0, 16.665, 1.1349983
0.1, 10.0, 0.2, 0.3, 1.0, 21.315, 1.1349983
0.1, 10.0, 0.2, 0.3, 1.0, 7.3149986, 1.1350021
0.1, 10.0, 0.2, 0.3, 0.0, 11.915001, 1.1349983
0.1, 10.0, 0.2, 0.3, 1.0, 7.2650013, 1.1349983
0.1, 10.0, 0.2, 0.3, 0.0, 7.215, 1.1350002
0.1, 10.0, 0.2, 0.3, 1.0, 7.3150005, 1.0849991
0.1, 10.0, 0.2, 0.3, 1.0, 21.364998, 1.0850029
0.1, 10.0, 0.2, 0.3, 1.0, 16.615002, 1.1349983
0.1, 10.0, 0.2, 0.3, 0.0, 7.3150005, 1.1349983
0.1, 10.0, 0.2, 0.3, 1.0, 16.615002, 1.1349983
0.1, 10.0, 0.2, 0.3, 1.0, 7.2650013, 1.1349983
0.1, 10.0, 0.2, 0.3, 1.0, 7.3150005, 1.1349983
0.1, 10.0, 0.2, 0.3, 0.0, 7.2649994, 1.0849991
0.1, 10.0, 0.2, 0.3, 0.0, 7.2649994, 1.1350002
0.1, 10.0, 0.2, 0.3, 0.0, 7.2650013, 1.1349983
0.1, 10.0, 0.2, 0.3, 1.0, 16.665, 1.1349983
0.1, 10.0, 0.2, 0.3, 0.0, 7.2650013, 1.1350002
0.1, 10.0, 0.2, 0.3, 1.0, 7.2650013, 1.1349983
0.1, 10.0, 0.2, 0.3, 0.0, 7.2649994, 1.1350021
0.1, 10.0, 0.2, 0.3, 0.0, 7.2649994, 1.1349983
0.1, 10.0, 0.2, 0.3, 0.0, 11.914999, 1.1350021
0.1, 10.0, 0.2, 0.3, 1.0, 11.914999, 1.0849991
0.1, 10.0, 0.2, 0.3, 1.0, 7.3150005, 1.085001
0.1, 10.0, 0.2, 0.3, 0.0, 16.615, 1.1350021
0.1, 10.0, 0.2, 0.3, 1.0, 11.914999, 1.0850029
0.1, 10.0, 0.2, 0.3, 1.0, 7.2649994, 1.1350002
0.1, 10.0, 0.2, 0.3, 1.0, 12.014999, 1.0849991
0.1, 10.0, 0.2, 0.3, 1.0, 7.3150005, 1.1349983
0.1, 10.0, 0.2, 0.3, 1.0, 11.965, 1.1349983
0.1, 10.0, 0.2, 0.3, 0.0, 7.2649994, 1.1350021
0.1, 10.0, 0.2, 0.3, 1.0, 11.964998, 1.0850029
0.1, 10.0, 0.2, 0.3, 0.0, 7.2649994, 1.0849991
0.1, 10.0, 0.2, 0.3, 1.0, 11.965, 1.0849991
0.1, 10.0, 0.2, 0.3, 0.0, 7.3149986, 1.1350021
0.1, 10.0, 0.2, 0.3, 0.0, 7.215, 1.1350002
0.1, 10.0, 0.2, 0.3, 1.0, 11.964998, 1.1350021
